Date,생산지_재해_호주_impact_score_sum,생산지_재해_호주_impact_score_mean,생산지_재해_호주_pos_frequency,생산지_재해_호주_neg_frequency,생산지_재해_호주_zero_frequency,생산지_재해_호주_sentiment
2018-01-05 00:00:00,0.0,0.0,0,0,0,0
2018-01-12 00:00:00,30.0,5.0,3,0,3,1
2018-01-19 00:00:00,0.0,0.0,0,0,5,0
2018-01-26 00:00:00,10.0,2.5,1,0,3,1
2018-02-02 00:00:00,20.0,10.0,2,0,0,1
2018-02-09 00:00:00,0.0,0.0,0,0,1,0
2018-02-16 00:00:00,0.0,0.0,0,0,3,0
2018-02-23 00:00:00,-10.0,-3.3333333333333335,0,1,2,-1
2018-03-02 00:00:00,20.0,4.0,2,0,3,1
2018-03-09 00:00:00,10.0,3.3333333333333335,1,0,2,1
2018-03-16 00:00:00,10.0,1.4285714285714286,1,0,6,1
2018-03-23 00:00:00,70.0,6.363636363636363,7,0,4,1
2018-03-30 00:00:00,70.0,6.363636363636363,7,0,4,1
2018-04-06 00:00:00,10.0,5.0,1,0,1,1
2018-04-13 00:00:00,0.0,0.0,0,0,0,0
2018-04-20 00:00:00,0.0,0.0,0,0,0,0
2018-04-27 00:00:00,0.0,0.0,0,0,0,0
2018-05-04 00:00:00,10.0,10.0,1,0,0,1
2018-05-11 00:00:00,0.0,0.0,0,0,1,0
2018-05-18 00:00:00,0.0,0.0,0,0,3,0
2018-05-25 00:00:00,0.0,0.0,0,0,1,0
2018-06-01 00:00:00,0.0,0.0,0,0,3,0
2018-06-08 00:00:00,0.0,0.0,0,0,2,0
2018-06-15 00:00:00,0.0,0.0,0,0,0,0
2018-06-22 00:00:00,0.0,0.0,0,0,3,0
2018-06-29 00:00:00,0.0,0.0,0,0,0,0
2018-07-06 00:00:00,0.0,0.0,0,0,1,0
2018-07-13 00:00:00,0.0,0.0,0,0,1,0
2018-07-20 00:00:00,0.0,0.0,0,0,1,0
2018-07-27 00:00:00,10.0,2.5,1,0,3,1
2018-08-03 00:00:00,10.0,3.3333333333333335,1,0,2,1
2018-08-10 00:00:00,0.0,0.0,0,0,1,0
2018-08-17 00:00:00,10.0,2.5,1,0,3,1
2018-08-24 00:00:00,10.0,10.0,1,0,0,1
2018-08-31 00:00:00,-10.0,-10.0,0,1,0,-1
2018-09-07 00:00:00,0.0,0.0,0,0,1,0
2018-09-14 00:00:00,0.0,0.0,0,0,1,0
2018-09-21 00:00:00,0.0,0.0,0,0,0,0
2018-09-28 00:00:00,10.0,5.0,1,0,1,1
2018-10-05 00:00:00,0.0,0.0,0,0,3,0
2018-10-12 00:00:00,20.0,5.0,2,0,2,1
2018-10-19 00:00:00,0.0,0.0,0,0,2,0
2018-10-26 00:00:00,0.0,0.0,0,0,0,0
2018-11-02 00:00:00,-20.0,-5.0,0,2,2,-1
2018-11-09 00:00:00,10.0,1.4285714285714286,1,0,6,1
2018-11-16 00:00:00,10.0,1.4285714285714286,2,1,4,1
2018-11-23 00:00:00,0.0,0.0,0,0,1,0
2018-11-30 00:00:00,20.0,4.0,2,0,3,1
2018-12-07 00:00:00,0.0,0.0,1,1,2,0
2018-12-14 00:00:00,80.0,10.0,8,0,0,1
2018-12-21 00:00:00,40.0,6.666666666666667,4,0,2,1
2018-12-28 00:00:00,10.0,2.5,1,0,3,1
2019-01-04 00:00:00,10.0,3.3333333333333335,1,0,2,1
2019-01-11 00:00:00,10.0,3.3333333333333335,1,0,2,1
2019-01-18 00:00:00,10.0,1.25,1,0,7,1
2019-01-25 00:00:00,80.0,5.714285714285714,9,1,4,1
2019-02-01 00:00:00,40.0,8.0,4,0,1,1
2019-02-08 00:00:00,170.0,5.483870967741935,18,1,12,1
2019-02-15 00:00:00,60.0,4.0,7,1,7,1
2019-02-22 00:00:00,20.0,1.5384615384615385,3,1,9,1
2019-03-01 00:00:00,0.0,0.0,1,1,3,0
2019-03-08 00:00:00,0.0,0.0,0,0,2,0
2019-03-15 00:00:00,0.0,0.0,0,0,3,0
2019-03-22 00:00:00,170.0,7.391304347826087,17,0,6,1
2019-03-29 00:00:00,80.0,4.444444444444445,12,4,2,1
2019-04-05 00:00:00,-10.0,-1.4285714285714286,1,2,4,-1
2019-04-12 00:00:00,10.0,1.4285714285714286,2,1,4,1
2019-04-19 00:00:00,0.0,0.0,2,2,2,0
2019-04-26 00:00:00,0.0,0.0,0,0,2,0
2019-05-03 00:00:00,0.0,0.0,0,0,1,0
2019-05-10 00:00:00,10.0,3.3333333333333335,1,0,2,1
2019-05-17 00:00:00,0.0,0.0,0,0,1,0
2019-05-24 00:00:00,0.0,0.0,1,1,0,0
2019-05-31 00:00:00,0.0,0.0,0,0,2,0
2019-06-07 00:00:00,0.0,0.0,0,0,5,0
2019-06-14 00:00:00,0.0,0.0,0,0,4,0
2019-06-21 00:00:00,10.0,3.3333333333333335,1,0,2,1
2019-06-28 00:00:00,0.0,0.0,0,0,0,0
2019-07-05 00:00:00,0.0,0.0,0,0,6,0
2019-07-12 00:00:00,0.0,0.0,0,0,1,0
2019-07-19 00:00:00,-10.0,-5.0,0,1,1,-1
2019-07-26 00:00:00,-10.0,-2.5,0,1,3,-1
2019-08-02 00:00:00,-10.0,-1.4285714285714286,1,2,4,-1
2019-08-09 00:00:00,10.0,1.25,1,0,7,1
2019-08-16 00:00:00,0.0,0.0,0,0,5,0
2019-08-23 00:00:00,0.0,0.0,0,0,2,0
2019-08-30 00:00:00,0.0,0.0,0,0,0,0
2019-09-06 00:00:00,0.0,0.0,0,0,1,0
2019-09-13 00:00:00,0.0,0.0,0,0,3,0
2019-09-20 00:00:00,0.0,0.0,0,0,4,0
2019-09-27 00:00:00,0.0,0.0,0,0,4,0
2019-10-04 00:00:00,10.0,3.3333333333333335,1,0,2,1
2019-10-11 00:00:00,30.0,7.5,3,0,1,1
2019-10-18 00:00:00,0.0,0.0,0,0,3,0
2019-10-25 00:00:00,0.0,0.0,0,0,3,0
2019-11-01 00:00:00,-10.0,-3.3333333333333335,0,1,2,-1
2019-11-08 00:00:00,0.0,0.0,0,0,3,0
2019-11-15 00:00:00,60.0,3.75,10,4,2,1
2019-11-22 00:00:00,80.0,7.2727272727272725,8,0,3,1
2019-11-29 00:00:00,30.0,5.0,3,0,3,1
2019-12-06 00:00:00,60.0,6.666666666666667,6,0,3,1
2019-12-13 00:00:00,40.0,3.6363636363636362,4,0,7,1
2019-12-20 00:00:00,50.0,4.545454545454546,7,2,2,1
2019-12-27 00:00:00,100.0,8.333333333333334,10,0,2,1
2020-01-03 00:00:00,130.0,7.647058823529412,13,0,4,1
2020-01-10 00:00:00,209.0,4.644444444444445,27,7,11,1
2020-01-17 00:00:00,160.0,5.714285714285714,17,1,10,1
2020-01-24 00:00:00,146.0,4.866666666666666,15,4,11,1
2020-01-31 00:00:00,80.0,5.714285714285714,8,0,6,1
2020-02-07 00:00:00,50.0,3.3333333333333335,7,2,6,1
2020-02-14 00:00:00,140.0,5.384615384615385,16,2,8,1
2020-02-21 00:00:00,60.0,4.0,7,1,7,1
2020-02-28 00:00:00,90.0,6.923076923076923,9,0,4,1
2020-03-06 00:00:00,70.0,6.363636363636363,7,0,4,1
2020-03-13 00:00:00,40.0,5.714285714285714,4,0,3,1
2020-03-20 00:00:00,10.0,3.3333333333333335,1,0,2,1
2020-03-27 00:00:00,10.0,5.0,1,0,1,1
2020-04-03 00:00:00,20.0,3.3333333333333335,2,0,4,1
2020-04-10 00:00:00,0.0,0.0,0,0,2,0
2020-04-17 00:00:00,10.0,3.3333333333333335,2,1,0,1
2020-04-24 00:00:00,0.0,0.0,0,0,5,0
2020-05-01 00:00:00,10.0,5.0,1,0,1,1
2020-05-08 00:00:00,10.0,1.6666666666666667,1,0,5,1
2020-05-15 00:00:00,-10.0,-2.5,0,1,3,-1
2020-05-22 00:00:00,-20.0,-10.0,0,2,0,-1
2020-05-29 00:00:00,90.0,5.294117647058823,11,2,4,1
2020-06-05 00:00:00,10.0,3.3333333333333335,1,0,2,1
2020-06-12 00:00:00,30.0,3.3333333333333335,4,1,4,1
2020-06-19 00:00:00,8.0,1.6,1,1,3,1
2020-06-26 00:00:00,10.0,5.0,1,0,1,1
2020-07-03 00:00:00,0.0,0.0,0,0,3,0
2020-07-10 00:00:00,10.0,5.0,1,0,1,1
2020-07-17 00:00:00,20.0,4.0,2,0,3,1
2020-07-24 00:00:00,0.0,0.0,0,0,5,0
2020-07-31 00:00:00,40.0,5.0,4,0,4,1
2020-08-07 00:00:00,10.0,1.4285714285714286,2,1,4,1
2020-08-14 00:00:00,0.0,0.0,0,0,2,0
2020-08-21 00:00:00,0.0,0.0,1,1,4,0
2020-08-28 00:00:00,10.0,1.6666666666666667,1,0,5,1
2020-09-04 00:00:00,10.0,2.0,1,0,4,1
2020-09-11 00:00:00,30.0,3.0,3,0,7,1
2020-09-18 00:00:00,0.0,0.0,0,0,4,0
2020-09-25 00:00:00,20.0,3.3333333333333335,2,0,4,1
2020-10-02 00:00:00,10.0,3.3333333333333335,1,0,2,1
2020-10-09 00:00:00,0.0,0.0,0,0,3,0
2020-10-16 00:00:00,30.0,3.3333333333333335,3,0,6,1
2020-10-23 00:00:00,10.0,3.3333333333333335,1,0,2,1
2020-10-30 00:00:00,40.0,4.0,5,1,4,1
2020-11-06 00:00:00,0.0,0.0,0,0,6,0
2020-11-13 00:00:00,-10.0,-1.1111111111111112,0,1,8,-1
2020-11-20 00:00:00,-30.0,-3.0,0,3,7,-1
2020-11-27 00:00:00,0.0,0.0,0,0,3,0
2020-12-04 00:00:00,-10.0,-2.0,0,1,4,-1
2020-12-11 00:00:00,20.0,2.0,2,0,8,1
2020-12-18 00:00:00,30.0,3.75,3,0,5,1
2020-12-25 00:00:00,30.0,6.0,3,0,2,1
2021-01-01 00:00:00,10.0,5.0,1,0,1,1
2021-01-08 00:00:00,40.0,4.444444444444445,4,0,5,1
2021-01-15 00:00:00,0.0,0.0,0,0,5,0
2021-01-22 00:00:00,60.0,7.5,6,0,2,1
2021-01-29 00:00:00,0.0,0.0,1,1,8,0
2021-02-05 00:00:00,10.0,2.0,2,1,2,1
2021-02-12 00:00:00,10.0,1.6666666666666667,2,1,3,1
2021-02-19 00:00:00,10.0,2.5,2,1,1,1
2021-02-26 00:00:00,-10.0,-0.7142857142857143,1,2,11,-1
2021-03-05 00:00:00,0.0,0.0,0,0,3,0
2021-03-12 00:00:00,-10.0,-2.5,0,1,3,-1
2021-03-19 00:00:00,20.0,4.0,2,0,3,1
2021-03-26 00:00:00,240.0,5.714285714285714,27,3,12,1
2021-04-02 00:00:00,20.0,1.6666666666666667,2,0,10,1
2021-04-09 00:00:00,50.0,5.0,5,0,5,1
2021-04-16 00:00:00,110.0,6.875,11,0,5,1
2021-04-23 00:00:00,20.0,2.5,2,0,6,1
2021-04-30 00:00:00,10.0,1.4285714285714286,1,0,6,1
2021-05-07 00:00:00,0.0,0.0,1,1,5,0
2021-05-14 00:00:00,-20.0,-2.5,0,2,6,-1
2021-05-21 00:00:00,10.0,1.6666666666666667,1,0,5,1
2021-05-28 00:00:00,-20.0,-2.857142857142857,0,2,5,-1
2021-06-04 00:00:00,-30.0,-3.3333333333333335,1,4,4,-1
2021-06-11 00:00:00,0.0,0.0,2,2,3,0
2021-06-18 00:00:00,40.0,4.444444444444445,4,0,5,1
2021-06-25 00:00:00,-10.0,-3.3333333333333335,0,1,2,-1
2021-07-02 00:00:00,0.0,0.0,0,0,4,0
2021-07-09 00:00:00,0.0,0.0,1,1,1,0
2021-07-16 00:00:00,0.0,0.0,0,0,3,0
2021-07-23 00:00:00,0.0,0.0,0,0,3,0
2021-07-30 00:00:00,0.0,0.0,0,0,1,0
2021-08-06 00:00:00,0.0,0.0,0,0,3,0
2021-08-13 00:00:00,10.0,1.4285714285714286,1,0,6,1
2021-08-20 00:00:00,10.0,2.0,1,0,4,1
2021-08-27 00:00:00,20.0,4.0,2,0,3,1
2021-09-03 00:00:00,0.0,0.0,0,0,4,0
2021-09-10 00:00:00,0.0,0.0,0,0,4,0
2021-09-17 00:00:00,0.0,0.0,0,0,6,0
2021-09-24 00:00:00,0.0,0.0,0,0,5,0
2021-10-01 00:00:00,0.0,0.0,0,0,7,0
2021-10-08 00:00:00,10.0,2.0,1,0,4,1
2021-10-15 00:00:00,40.0,6.666666666666667,4,0,2,1
2021-10-22 00:00:00,10.0,1.4285714285714286,1,0,6,1
2021-10-29 00:00:00,20.0,2.857142857142857,4,2,1,1
2021-11-05 00:00:00,30.0,3.0,3,0,7,1
2021-11-12 00:00:00,0.0,0.0,0,0,8,0
2021-11-19 00:00:00,10.0,3.3333333333333335,1,0,2,1
2021-11-26 00:00:00,60.0,7.5,6,0,2,1
2021-12-03 00:00:00,40.0,4.444444444444445,4,0,5,1
2021-12-10 00:00:00,50.0,7.142857142857143,5,0,2,1
2021-12-17 00:00:00,40.0,4.444444444444445,4,0,5,1
2021-12-24 00:00:00,0.0,0.0,2,2,2,0
2021-12-31 00:00:00,10.0,2.0,1,0,4,1
2022-01-07 00:00:00,0.0,0.0,0,0,4,0
2022-01-14 00:00:00,10.0,0.9090909090909091,3,2,6,1
2022-01-21 00:00:00,0.0,0.0,0,0,5,0
2022-01-28 00:00:00,-30.0,-1.5789473684210527,5,8,6,-1
2022-02-04 00:00:00,0.0,0.0,5,5,6,0
2022-02-11 00:00:00,0.0,0.0,1,1,6,0
2022-02-18 00:00:00,20.0,1.5384615384615385,2,0,11,1
2022-02-25 00:00:00,10.0,1.6666666666666667,1,0,5,1
2022-03-04 00:00:00,260.0,5.531914893617022,27,1,19,1
2022-03-11 00:00:00,190.0,4.222222222222222,24,5,16,1
2022-03-18 00:00:00,20.0,0.9090909090909091,4,2,16,1
2022-03-25 00:00:00,-10.0,-0.5,2,3,15,-1
2022-04-01 00:00:00,40.0,2.3529411764705883,5,1,11,1
2022-04-08 00:00:00,0.0,0.0,0,0,9,0
2022-04-15 00:00:00,0.0,0.0,1,1,12,0
2022-04-22 00:00:00,0.0,0.0,0,0,13,0
2022-04-29 00:00:00,20.0,1.5384615384615385,2,0,11,1
2022-05-06 00:00:00,30.0,2.727272727272727,3,0,8,1
2022-05-13 00:00:00,40.0,5.0,4,0,4,1
2022-05-20 00:00:00,60.0,3.75,6,0,10,1
2022-05-27 00:00:00,20.0,4.0,2,0,3,1
2022-06-03 00:00:00,50.0,4.545454545454546,5,0,6,1
2022-06-10 00:00:00,0.0,0.0,0,0,1,0
2022-06-17 00:00:00,30.0,3.3333333333333335,3,0,6,1
2022-06-24 00:00:00,20.0,3.3333333333333335,2,0,4,1
2022-07-01 00:00:00,50.0,5.555555555555555,5,0,4,1
2022-07-08 00:00:00,10.0,0.2631578947368421,14,13,11,1
2022-07-15 00:00:00,30.0,2.3076923076923075,5,2,6,1
2022-07-22 00:00:00,0.0,0.0,1,1,8,0
2022-07-29 00:00:00,30.0,2.5,4,1,7,1
2022-08-05 00:00:00,30.0,2.3076923076923075,3,0,10,1
2022-08-12 00:00:00,20.0,1.25,2,0,14,1
2022-08-19 00:00:00,10.0,0.47619047619047616,2,1,18,1
2022-08-26 00:00:00,0.0,0.0,0,0,10,0
2022-09-02 00:00:00,5.0,1.25,1,0,3,1
2022-09-09 00:00:00,5.0,0.5555555555555556,2,2,5,1
2022-09-16 00:00:00,0.0,0.0,0,0,4,0
2022-09-23 00:00:00,10.0,0.7142857142857143,2,1,11,1
2022-09-30 00:00:00,0.0,0.0,0,0,7,0
2022-10-07 00:00:00,20.0,1.6666666666666667,4,2,6,1
2022-10-14 00:00:00,150.0,6.25,16,1,7,1
2022-10-21 00:00:00,86.0,2.2051282051282053,11,6,22,1
2022-10-28 00:00:00,80.0,4.444444444444445,9,1,8,1
2022-11-04 00:00:00,60.0,5.0,6,0,6,1
2022-11-11 00:00:00,70.0,3.6842105263157894,8,1,10,1
2022-11-18 00:00:00,130.0,4.814814814814815,14,1,12,1
2022-11-25 00:00:00,90.0,3.2142857142857144,12,3,13,1
2022-12-02 00:00:00,60.0,2.727272727272727,7,1,14,1
2022-12-09 00:00:00,-10.0,-1.1111111111111112,1,2,6,-1
2022-12-16 00:00:00,20.0,1.6666666666666667,3,1,8,1
2022-12-23 00:00:00,40.0,2.2222222222222223,5,1,12,1
2022-12-30 00:00:00,40.0,4.0,5,1,4,1
2023-01-06 00:00:00,70.0,5.384615384615385,7,0,6,1
2023-01-13 00:00:00,160.0,4.0,17,1,22,1
2023-01-20 00:00:00,70.0,4.375,7,0,9,1
2023-01-27 00:00:00,0.0,0.0,0,0,6,0
2023-02-03 00:00:00,0.0,0.0,2,2,16,0
2023-02-10 00:00:00,60.0,2.727272727272727,7,1,14,1
2023-02-17 00:00:00,60.0,4.0,6,0,9,1
2023-02-24 00:00:00,60.0,3.1578947368421053,6,0,13,1
2023-03-03 00:00:00,40.0,2.2222222222222223,4,0,14,1
2023-03-10 00:00:00,70.0,5.0,7,0,7,1
2023-03-17 00:00:00,50.0,2.380952380952381,7,2,12,1
2023-03-24 00:00:00,50.0,4.166666666666667,5,0,7,1
2023-03-31 00:00:00,-20.0,-2.5,0,2,6,-1
2023-04-07 00:00:00,30.0,3.0,3,0,7,1
2023-04-14 00:00:00,120.0,5.454545454545454,12,0,10,1
2023-04-21 00:00:00,50.0,3.8461538461538463,6,1,6,1
2023-04-28 00:00:00,0.0,0.0,1,1,8,0
2023-05-05 00:00:00,-10.0,-1.4285714285714286,0,2,5,-1
2023-05-12 00:00:00,0.0,0.0,0,0,9,0
2023-05-19 00:00:00,40.0,3.076923076923077,4,0,9,1
2023-05-26 00:00:00,10.0,1.6666666666666667,1,0,5,1
2023-06-02 00:00:00,20.0,3.3333333333333335,2,0,4,1
2023-06-09 00:00:00,0.0,0.0,1,1,13,0
2023-06-16 00:00:00,10.0,0.8333333333333334,3,2,7,1
2023-06-23 00:00:00,10.0,1.1111111111111112,2,1,6,1
2023-06-30 00:00:00,20.0,2.857142857142857,2,0,5,1
2023-07-07 00:00:00,0.0,0.0,0,0,5,0
2023-07-14 00:00:00,0.0,0.0,1,1,6,0
2023-07-21 00:00:00,50.0,3.8461538461538463,5,0,8,1
2023-07-28 00:00:00,30.0,5.0,3,0,3,1
2023-08-04 00:00:00,30.0,3.0,3,0,7,1
2023-08-11 00:00:00,30.0,3.0,3,0,7,1
2023-08-18 00:00:00,20.0,2.857142857142857,2,0,5,1
2023-08-25 00:00:00,0.0,0.0,0,0,9,0
2023-09-01 00:00:00,10.0,1.25,1,0,7,1
2023-09-08 00:00:00,30.0,3.75,3,0,5,1
2023-09-15 00:00:00,55.0,3.0555555555555554,7,2,9,1
2023-09-22 00:00:00,40.0,4.0,4,0,6,1
2023-09-29 00:00:00,20.0,3.3333333333333335,2,0,4,1
2023-10-06 00:00:00,20.0,2.2222222222222223,3,1,5,1
2023-10-13 00:00:00,10.0,0.9090909090909091,1,0,10,1
2023-10-20 00:00:00,20.0,4.0,2,0,3,1
2023-10-27 00:00:00,0.0,0.0,2,2,10,0
2023-11-03 00:00:00,-10.0,-0.8333333333333334,1,2,9,-1
2023-11-10 00:00:00,-20.0,-2.857142857142857,0,2,5,-1
2023-11-17 00:00:00,-22.0,-1.5714285714285714,0,3,11,-1
2023-11-24 00:00:00,0.0,0.0,2,2,11,0
2023-12-01 00:00:00,-20.0,-1.0,6,8,6,-1
2023-12-08 00:00:00,60.0,2.5,8,2,14,1
2023-12-15 00:00:00,60.0,3.75,9,3,4,1
2023-12-22 00:00:00,110.0,4.583333333333333,12,1,11,1
2023-12-29 00:00:00,80.0,4.2105263157894735,11,3,5,1
2024-01-05 00:00:00,40.0,1.7391304347826086,9,5,9,1
2024-01-12 00:00:00,110.0,3.3333333333333335,12,1,20,1
2024-01-19 00:00:00,70.0,2.9166666666666665,8,1,15,1
2024-01-26 00:00:00,60.0,1.7647058823529411,12,6,16,1
2024-02-02 00:00:00,90.0,4.285714285714286,10,1,10,1
2024-02-09 00:00:00,70.0,3.0434782608695654,9,2,12,1
2024-02-16 00:00:00,80.0,2.7586206896551726,14,6,9,1
2024-02-23 00:00:00,150.0,5.769230769230769,15,0,11,1
2024-03-01 00:00:00,90.0,4.7368421052631575,10,1,8,1
2024-03-08 00:00:00,10.0,2.0,2,1,2,1
2024-03-15 00:00:00,50.0,2.9411764705882355,7,2,8,1
2024-03-22 00:00:00,160.0,3.902439024390244,26,10,5,1
2024-03-29 00:00:00,60.0,3.3333333333333335,8,2,8,1
2024-04-05 00:00:00,-3.0,-0.1111111111111111,5,7,15,-1
2024-04-12 00:00:00,50.0,2.272727272727273,8,3,11,1
2024-04-19 00:00:00,-10.0,-2.5,0,1,3,-1
2024-04-26 00:00:00,10.0,1.0,3,2,5,1
2024-05-03 00:00:00,40.0,2.6666666666666665,5,1,9,1
2024-05-10 00:00:00,-20.0,-1.6666666666666667,1,3,8,-1
2024-05-17 00:00:00,40.0,2.857142857142857,4,0,10,1
2024-05-24 00:00:00,30.0,4.285714285714286,3,0,4,1
2024-05-31 00:00:00,0.0,0.0,0,0,1,0
2024-06-07 00:00:00,10.0,0.5263157894736842,6,5,8,1
2024-06-14 00:00:00,100.0,4.761904761904762,10,0,11,1
2024-06-21 00:00:00,60.0,4.285714285714286,6,0,8,1
2024-06-28 00:00:00,10.0,1.1111111111111112,2,1,6,1
2024-07-05 00:00:00,76.0,5.846153846153846,8,3,2,1
2024-07-12 00:00:00,88.0,5.5,9,2,5,1
2024-07-19 00:00:00,0.0,0.0,4,4,5,0
2024-07-26 00:00:00,10.0,1.0,2,1,7,1
2024-08-02 00:00:00,0.0,0.0,1,1,4,0
2024-08-09 00:00:00,0.0,0.0,1,1,10,0
2024-08-16 00:00:00,60.0,5.0,6,0,6,1
2024-08-23 00:00:00,10.0,0.5882352941176471,4,3,10,1
2024-08-30 00:00:00,40.0,2.6666666666666665,6,2,7,1
2024-09-06 00:00:00,120.0,5.454545454545454,13,1,8,1
2024-09-13 00:00:00,50.0,5.555555555555555,5,0,4,1
2024-09-20 00:00:00,30.0,2.3076923076923075,3,0,10,1
2024-09-27 00:00:00,20.0,2.0,2,0,8,1
2024-10-04 00:00:00,10.0,0.8333333333333334,3,2,7,1
2024-10-11 00:00:00,90.0,3.6,9,0,16,1
2024-10-18 00:00:00,90.0,3.3333333333333335,14,5,8,1
2024-10-25 00:00:00,30.0,1.3043478260869565,7,4,12,1
2024-11-01 00:00:00,-10.0,-0.7142857142857143,1,2,11,-1
2024-11-08 00:00:00,-10.0,-0.8333333333333334,0,1,11,-1
2024-11-15 00:00:00,10.0,1.25,1,0,7,1
2024-11-22 00:00:00,-70.0,-4.117647058823529,1,8,8,-1
2024-11-29 00:00:00,20.0,0.9090909090909091,3,1,18,1
2024-12-06 00:00:00,30.0,1.2,3,0,22,1
2024-12-13 00:00:00,10.0,0.5263157894736842,4,3,12,1
2024-12-20 00:00:00,60.0,2.857142857142857,6,0,15,1
2024-12-27 00:00:00,0.0,0.0,1,1,8,0
