Date,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_impact_score_sum,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_impact_score_mean,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_pos_frequency,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_neg_frequency,´ÏÄÌ°ü·Ã_È¯°æÀÌ½´_sentiment
2018.1.5 0:00,-5,-5,0,1,-1
2018.1.12 0:00,0,0,0,0,0
2018.1.19 0:00,10,10,1,0,1
2018.1.26 0:00,0,0,0,0,0
2018.2.2 0:00,0,0,0,0,0
2018.2.9 0:00,0,0,1,1,0
2018.2.16 0:00,-1,-1,0,1,-1
2018.2.23 0:00,1,1,1,0,1
2018.3.2 0:00,0,0,0,0,0
2018.3.9 0:00,2,1,1,1,1
2018.3.16 0:00,0,0,1,1,0
2018.3.23 0:00,13,4.333333333,3,0,1
2018.3.30 0:00,8,4,1,1,1
2018.4.6 0:00,0,0,0,0,0
2018.4.13 0:00,20,6.666666667,3,0,1
2018.4.20 0:00,0,0,1,1,0
2018.4.27 0:00,8,2,3,1,1
2018.5.4 0:00,-2,-2,0,1,-1
2018.5.11 0:00,0,0,0,0,0
2018.5.18 0:00,0,0,0,0,0
2018.5.25 0:00,20,5,4,0,1
2018.6.1 0:00,-10,-2,2,3,-1
2018.6.8 0:00,10,3.333333333,2,1,1
2018.6.15 0:00,1,0.5,1,1,1
2018.6.22 0:00,6,3,2,0,1
2018.6.29 0:00,-5,-5,0,1,-1
2018.7.6 0:00,-5,-5,0,1,-1
2018.7.13 0:00,5,5,1,0,1
2018.7.20 0:00,0,0,1,1,0
2018.7.27 0:00,2,1,1,1,1
2018.8.3 0:00,0,0,0,0,0
2018.8.10 0:00,-2,-2,0,1,-1
2018.8.17 0:00,10,5,2,0,1
2018.8.24 0:00,2,2,1,0,1
2018.8.31 0:00,5,1.25,2,2,1
2018.9.7 0:00,5,2.5,1,1,1
2018.9.14 0:00,10,5,2,0,1
2018.9.21 0:00,0,0,4,4,0
2018.9.28 0:00,0,0,0,0,0
2018.10.5 0:00,1,1,1,0,1
2018.10.12 0:00,-2,-2,0,1,-1
2018.10.19 0:00,9,4.5,2,0,1
2018.10.26 0:00,1,0.333333333,2,1,1
2018.11.2 0:00,5,5,1,0,1
2018.11.9 0:00,0,0,0,0,0
2018.11.16 0:00,0,0,2,3,0
2018.11.23 0:00,5,5,1,0,1
2018.11.30 0:00,12,3,3,1,1
2018.12.7 0:00,3,3,1,0,1
2018.12.14 0:00,10,5,2,0,1
2018.12.21 0:00,5,1.666666667,2,1,1
2018.12.28 0:00,0,0,0,0,0
2019.1.4 0:00,10,10,1,0,1
2019.1.11 0:00,0,0,0,0,0
2019.1.18 0:00,-1,-0.25,2,2,-1
2019.1.25 0:00,-3,-3,0,1,-1
2019.2.1 0:00,0,0,0,0,0
2019.2.8 0:00,0,0,0,0,0
2019.2.15 0:00,-2,-2,0,1,-1
2019.2.22 0:00,-3,-3,0,1,-1
2019.3.1 0:00,-2,-0.666666667,2,1,-1
2019.3.8 0:00,-2,-2,0,1,-1
2019.3.15 0:00,2,1,1,1,1
2019.3.22 0:00,7,1.75,2,2,1
2019.3.29 0:00,0,0,0,0,0
2019.4.5 0:00,0,0,0,0,0
2019.4.12 0:00,5,5,1,0,1
2019.4.19 0:00,1,1,1,0,1
2019.4.26 0:00,5,1.666666667,2,1,1
2019.5.3 0:00,11,3.666666667,2,1,1
2019.5.10 0:00,0,0,0,0,0
2019.5.17 0:00,-2,-2,0,1,-1
2019.5.24 0:00,-9,-3,0,3,-1
2019.5.31 0:00,-5,-5,0,1,-1
2019.6.7 0:00,1,0.333333333,1,2,1
2019.6.14 0:00,3,0.75,2,2,1
2019.6.21 0:00,0,0,0,0,0
2019.6.28 0:00,-12,-4,0,3,-1
2019.7.5 0:00,17,4.25,4,0,1
2019.7.12 0:00,1,1,1,0,1
2019.7.19 0:00,0,0,0,0,0
2019.7.26 0:00,3,3,1,0,1
2019.8.2 0:00,0,0,2,2,0
2019.8.9 0:00,0,0,0,0,0
2019.8.16 0:00,5,5,1,0,1
2019.8.23 0:00,10,5,2,0,1
2019.8.30 0:00,-8,-4,0,2,-1
2019.9.6 0:00,-5,-5,0,1,-1
2019.9.13 0:00,10,10,1,0,1
2019.9.20 0:00,12,2.4,3,2,1
2019.9.27 0:00,3,0.75,2,2,1
2019.10.4 0:00,4,1.333333333,2,1,1
2019.10.11 0:00,5,5,1,0,1
2019.10.18 0:00,-4,-2,0,2,-1
2019.10.25 0:00,0,0,0,0,0
2019.11.1 0:00,-2,-2,0,1,-1
2019.11.8 0:00,0,0,0,0,0
2019.11.15 0:00,10,5,2,0,1
2019.11.22 0:00,-8,-2.666666667,1,2,-1
2019.11.29 0:00,0,0,0,0,0
2019.12.6 0:00,0,0,0,0,0
2019.12.13 0:00,0,0,0,0,0
2019.12.20 0:00,0,0,0,0,0
2019.12.27 0:00,0,0,1,1,0
2020.1.3 0:00,3,3,1,0,1
2020.1.10 0:00,-17,-5.666666667,0,3,-1
2020.1.17 0:00,0,0,1,1,0
2020.1.24 0:00,5,1.666666667,2,1,1
2020.1.31 0:00,4,2,2,0,1
2020.2.7 0:00,14,3.5,4,0,1
2020.2.14 0:00,10,5,2,0,1
2020.2.21 0:00,18,4.5,4,0,1
2020.2.28 0:00,1,0.5,1,1,1
2020.3.6 0:00,14,4.666666667,3,0,1
2020.3.13 0:00,0,0,0,0,0
2020.3.20 0:00,5,1.666666667,2,1,1
2020.3.27 0:00,-11,-2.75,1,3,-1
2020.4.3 0:00,-5,-1.25,1,3,-1
2020.4.10 0:00,9,4.5,2,0,1
2020.4.17 0:00,5,5,1,0,1
2020.4.24 0:00,0,0,0,0,0
2020.5.1 0:00,-5,-1.666666667,1,2,-1
2020.5.8 0:00,-2,-2,0,1,-1
2020.5.15 0:00,7,7,1,0,1
2020.5.22 0:00,14,4.666666667,3,0,1
2020.5.29 0:00,-8,-4,0,2,-1
2020.6.5 0:00,4,4,1,0,1
2020.6.12 0:00,18,6,3,0,1
2020.6.19 0:00,6,3,2,0,1
2020.6.26 0:00,-5,-5,0,1,-1
2020.7.3 0:00,2,0.5,2,2,1
2020.7.10 0:00,0,0,1,1,0
2020.7.17 0:00,0,0,0,0,0
2020.7.24 0:00,10,5,2,0,1
2020.7.31 0:00,5,5,1,0,1
2020.8.7 0:00,-12,-4,0,3,-1
2020.8.14 0:00,10,5,2,0,1
2020.8.21 0:00,-10,-10,0,1,-1
2020.8.28 0:00,10,10,1,0,1
2020.9.4 0:00,0,0,1,1,0
2020.9.11 0:00,22,5.5,4,0,1
2020.9.18 0:00,-5,-1.25,2,2,-1
2020.9.25 0:00,4,1.333333333,3,0,1
2020.10.2 0:00,5,5,1,0,1
2020.10.9 0:00,0,0,0,0,0
2020.10.16 0:00,0,0,0,0,0
2020.10.23 0:00,0,0,3,2,0
2020.10.30 0:00,6,2,2,1,1
2020.11.6 0:00,3,1.5,1,1,1
2020.11.13 0:00,-2,-1,1,1,-1
2020.11.20 0:00,4,4,1,0,1
2020.11.27 0:00,5,5,1,0,1
2020.12.4 0:00,7,1.75,3,1,1
2020.12.11 0:00,-2,-2,0,1,-1
2020.12.18 0:00,0,0,0,0,0
2020.12.25 0:00,5,5,1,0,1
2021.1.1 0:00,5,5,1,0,1
2021.1.8 0:00,3,1.5,1,1,1
2021.1.15 0:00,-4,-2,1,1,-1
2021.1.22 0:00,8,4,2,0,1
2021.1.29 0:00,17,2.833333333,4,2,1
2021.2.5 0:00,4,1.333333333,2,1,1
2021.2.12 0:00,0,0,0,0,0
2021.2.19 0:00,8,4,2,0,1
2021.2.26 0:00,2,2,1,0,1
2021.3.5 0:00,14,2.8,4,1,1
2021.3.12 0:00,11,3.666666667,3,0,1
2021.3.19 0:00,0,0,0,0,0
2021.3.26 0:00,0,0,0,0,0
2021.4.2 0:00,1,0.5,1,1,1
2021.4.9 0:00,-4,-2,1,1,-1
2021.4.16 0:00,10,3.333333333,3,0,1
2021.4.23 0:00,-5,-0.833333333,2,4,-1
2021.4.30 0:00,7,3.5,2,0,1
2021.5.7 0:00,13,3.25,3,1,1
2021.5.14 0:00,5,1.666666667,2,1,1
2021.5.21 0:00,-2,-2,0,1,-1
2021.5.28 0:00,1,0.25,3,1,1
2021.6.4 0:00,7,3.5,2,0,1
2021.6.11 0:00,22,4.4,4,1,1
2021.6.18 0:00,0,0,0,0,0
2021.6.25 0:00,25,4.166666667,6,0,1
2021.7.2 0:00,17,5.666666667,3,0,1
2021.7.9 0:00,24,4.8,5,0,1
2021.7.16 0:00,18,4.5,4,0,1
2021.7.23 0:00,8,2,4,0,1
2021.7.30 0:00,30,6,5,0,1
2021.8.6 0:00,0,0,1,1,0
2021.8.13 0:00,0,0,2,2,0
2021.8.20 0:00,11,3.666666667,3,0,1
2021.8.27 0:00,-7,-2.333333333,1,2,-1
2021.9.3 0:00,13,3.25,3,1,1
2021.9.10 0:00,5,1.25,3,1,1
2021.9.17 0:00,10,2.5,3,1,1
2021.9.24 0:00,5,1.666666667,1,2,1
2021.10.1 0:00,6,2,2,1,1
2021.10.8 0:00,5,2.5,1,1,1
2021.10.15 0:00,4,2,2,0,1
2021.10.22 0:00,11,1.375,5,3,1
2021.10.29 0:00,11,2.2,4,1,1
2021.11.5 0:00,0,0,0,0,0
2021.11.12 0:00,7,3.5,2,0,1
2021.11.19 0:00,0,0,0,0,0
2021.11.26 0:00,6,1.5,2,2,1
2021.12.3 0:00,3,1.5,1,1,1
2021.12.10 0:00,6,1.5,3,1,1
2021.12.17 0:00,-8,-2.666666667,1,2,-1
2021.12.24 0:00,-5,-2.5,0,2,-1
2021.12.31 0:00,20,6.666666667,3,0,1
2022.1.7 0:00,0,0,0,0,0
2022.1.14 0:00,15,5,3,0,1
2022.1.21 0:00,0,0,0,0,0
2022.1.28 0:00,10,10,1,0,1
2022.2.4 0:00,8,1.142857143,4,3,1
2022.2.11 0:00,-6,-1,2,4,-1
2022.2.18 0:00,10,2.5,3,1,1
2022.2.25 0:00,5,5,1,0,1
2022.3.4 0:00,-6,-3,0,2,-1
2022.3.11 0:00,4,1,3,1,1
2022.3.18 0:00,22,3.666666667,4,2,1
2022.3.25 0:00,2,0.666666667,2,1,1
2022.4.1 0:00,5,2.5,2,0,1
2022.4.8 0:00,15,7.5,2,0,1
2022.4.15 0:00,1,0.5,1,1,1
2022.4.22 0:00,10,2.5,3,1,1
2022.4.29 0:00,7,1.75,3,1,1
2022.5.6 0:00,8,1.333333333,4,2,1
2022.5.13 0:00,7,3.5,2,0,1
2022.5.20 0:00,23,4.6,4,1,1
2022.5.27 0:00,30,6,5,0,1
2022.6.3 0:00,-5,-5,0,1,-1
2022.6.10 0:00,5,5,1,0,1
2022.6.17 0:00,16,3.2,4,1,1
2022.6.24 0:00,4,0.571428571,4,3,1
2022.7.1 0:00,6,1.5,3,1,1
2022.7.8 0:00,3,1.5,1,1,1
2022.7.15 0:00,-4,-2,1,1,-1
2022.7.22 0:00,1,0.2,2,3,1
2022.7.29 0:00,7,3.5,2,0,1
2022.8.5 0:00,16,4,4,0,1
2022.8.12 0:00,8,2.666666667,2,1,1
2022.8.19 0:00,3,0.6,3,2,1
2022.8.26 0:00,3,1.5,1,1,1
2022.9.2 0:00,0,0,0,0,0
2022.9.9 0:00,12,3,3,1,1
2022.9.16 0:00,5,5,1,0,1
2022.9.23 0:00,10,5,2,0,1
2022.9.30 0:00,0,0,0,0,0
2022.10.7 0:00,7,3.5,1,1,1
2022.10.14 0:00,23,2.555555556,7,2,1
2022.10.21 0:00,22,3.142857143,6,1,1
2022.10.28 0:00,0,0,1,1,0
2022.11.4 0:00,10,5,2,0,1
2022.11.11 0:00,5,5,1,0,1
2022.11.18 0:00,-4,-1.333333333,1,2,-1
2022.11.25 0:00,26,2.6,9,1,1
2022.12.2 0:00,-1,-0.166666667,2,4,-1
2022.12.9 0:00,18,3,5,1,1
2022.12.16 0:00,10,2,4,1,1
2022.12.23 0:00,5,5,1,0,1
2022.12.30 0:00,5,5,1,0,1
2023.1.6 0:00,3,1.5,2,0,1
2023.1.13 0:00,5,1.25,3,1,1
2023.1.20 0:00,5,5,1,0,1
2023.1.27 0:00,20,6.666666667,3,0,1
2023.2.3 0:00,-2,-0.666666667,1,2,-1
2023.2.10 0:00,3,1,1,2,1
2023.2.17 0:00,23,4.6,4,1,1
2023.2.24 0:00,15,2.142857143,6,1,1
2023.3.3 0:00,10,5,2,0,1
2023.3.10 0:00,4,0.5,4,4,1
2023.3.17 0:00,1,0.111111111,4,5,1
2023.3.24 0:00,0,0,1,1,0
2023.3.31 0:00,-7,-1.166666667,3,3,-1
2023.4.7 0:00,13,4.333333333,3,0,1
2023.4.14 0:00,0,0,0,0,0
2023.4.21 0:00,10,2.5,3,1,1
2023.4.28 0:00,15,5,3,0,1
2023.5.5 0:00,9,1.5,4,2,1
2023.5.12 0:00,11,2.2,5,0,1
2023.5.19 0:00,18,2.571428571,5,2,1
2023.5.26 0:00,2,0.333333333,3,3,1
2023.6.2 0:00,-2,-0.2,6,4,-1
2023.6.9 0:00,5,5,1,0,1
2023.6.16 0:00,7,1.75,2,2,1
2023.6.23 0:00,15,5,3,0,1
2023.6.30 0:00,10,1.666666667,4,2,1
2023.7.7 0:00,18,2.25,7,1,1
2023.7.14 0:00,6,0.428571429,7,7,1
2023.7.21 0:00,24,4,5,1,1
2023.7.28 0:00,34,4.857142857,7,0,1
2023.8.4 0:00,14,2,4,3,1
2023.8.11 0:00,12,4,3,0,1
2023.8.18 0:00,-1,-0.2,3,2,-1
2023.8.25 0:00,16,3.2,5,0,1
2023.9.1 0:00,6,1,4,2,1
2023.9.8 0:00,-6,-1.2,2,3,-1
2023.9.15 0:00,9,0.9,6,4,1
2023.9.22 0:00,20,5,4,0,1
2023.9.29 0:00,14,1.166666667,7,5,1
2023.10.6 0:00,8,4,2,0,1
2023.10.13 0:00,9,1.8,4,1,1
2023.10.20 0:00,9,3,2,1,1
2023.10.27 0:00,6,1.2,4,1,1
2023.11.3 0:00,2,0.25,5,3,1
2023.11.10 0:00,-2,-0.25,3,5,-1
2023.11.17 0:00,-3,-0.5,3,3,-1
2023.11.24 0:00,13,3.25,3,1,1
2023.12.1 0:00,72,5.142857143,13,1,1
2023.12.8 0:00,15,1.25,9,3,1
2023.12.15 0:00,23,2.3,8,2,1
2023.12.22 0:00,17,4.25,4,0,1
2023.12.29 0:00,15,5,3,0,1
2024.1.5 0:00,8,2,3,1,1
2024.1.12 0:00,22,3.142857143,4,3,1
2024.1.19 0:00,-9,-1,5,4,-1
2024.1.26 0:00,28,5.6,5,0,1
2024.2.2 0:00,28,2.8,7,3,1
2024.2.9 0:00,8,0.727272727,6,5,1
2024.2.16 0:00,18,4.5,3,1,1
2024.2.23 0:00,16,1.6,7,3,1
2024.3.1 0:00,28,3.111111111,7,2,1
2024.3.8 0:00,4,0.8,3,2,1
2024.3.15 0:00,-2,-0.153846154,7,6,-1
2024.3.22 0:00,36,2.769230769,9,4,1
2024.3.29 0:00,27,3,7,2,1
2024.4.5 0:00,17,2.428571429,4,3,1
2024.4.12 0:00,3,0.5,4,2,1
2024.4.19 0:00,37,5.285714286,7,0,1
2024.4.26 0:00,6,1.5,3,1,1
2024.5.3 0:00,24,3.428571429,6,1,1
2024.5.10 0:00,7,1.166666667,4,2,1
2024.5.17 0:00,9,1.8,3,2,1
2024.5.24 0:00,16,3.2,4,1,1
2024.5.31 0:00,23,2.555555556,6,3,1
2024.6.7 0:00,25,6.25,4,0,1
2024.6.14 0:00,19,2.111111111,8,1,1
2024.6.21 0:00,26,1.625,11,5,1
2024.6.28 0:00,-4,-0.5,4,4,-1
2024.7.5 0:00,-17,-5.666666667,0,3,-1
2024.7.12 0:00,33,2.2,12,3,1
2024.7.19 0:00,3,1.5,1,1,1
2024.7.26 0:00,15,2.142857143,5,2,1
2024.8.2 0:00,9,1.285714286,5,2,1
2024.8.9 0:00,13,3.25,3,1,1
2024.8.16 0:00,17,2.428571429,5,2,1
2024.8.23 0:00,25,3.125,6,2,1
2024.8.30 0:00,1,0.25,2,2,1
2024.9.6 0:00,16,3.2,5,0,1
2024.9.13 0:00,7,0.7,5,5,1
2024.9.20 0:00,2,0.666666667,2,1,1
2024.9.27 0:00,8,1.142857143,3,4,1
2024.10.4 0:00,10,0.909090909,9,2,1
2024.10.11 0:00,13,1.857142857,4,3,1
2024.10.18 0:00,19,2.375,6,2,1
2024.10.25 0:00,23,2.875,6,2,1
2024.11.1 0:00,1,0.2,2,3,1
2024.11.8 0:00,31,3.1,8,2,1
2024.11.15 0:00,11,3.666666667,3,0,1
2024.11.22 0:00,-4,-0.666666667,3,3,-1
2024.11.29 0:00,35,2.692307692,11,2,1
2024.12.6 0:00,29,2.071428571,11,3,1
2024.12.13 0:00,4,0.5,4,4,1
2024.12.20 0:00,17,1.888888889,6,3,1
2024.12.27 0:00,0,0,0,0,0