Date,소비지_재해_중국_impact_score_sum,소비지_재해_중국_impact_score_mean,소비지_재해_중국_pos_frequency,소비지_재해_중국_neg_frequency,소비지_재해_중국_sentiment
2018.1.5 0:00,0,0,0,0,0
2018.1.12 0:00,0,0,0,0,0
2018.1.19 0:00,17,5.666666667,3,0,1
2018.1.26 0:00,0,0,0,0,0
2018.2.2 0:00,5,5,1,0,1
2018.2.9 0:00,0,0,0,0,0
2018.2.16 0:00,0,0,0,0,0
2018.2.23 0:00,0,0,0,0,0
2018.3.2 0:00,-5,-5,0,1,-1
2018.3.9 0:00,0,0,0,0,0
2018.3.16 0:00,-8,-4,0,2,-1
2018.3.23 0:00,-11,-5.5,0,2,-1
2018.3.30 0:00,-5,-5,0,1,-1
2018.4.6 0:00,-10,-5,0,2,-1
2018.4.13 0:00,0,0,0,0,0
2018.4.20 0:00,0,0,0,0,0
2018.4.27 0:00,0,0,0,0,0
2018.5.4 0:00,0,0,1,1,0
2018.5.11 0:00,5,5,1,0,1
2018.5.18 0:00,0,0,0,0,0
2018.5.25 0:00,6,6,1,0,1
2018.6.1 0:00,-5,-5,0,1,-1
2018.6.8 0:00,0,0,0,0,0
2018.6.15 0:00,3,1.5,1,1,1
2018.6.22 0:00,-3,-3,0,1,-1
2018.6.29 0:00,0,0,0,0,0
2018.7.6 0:00,-3,-3,0,1,-1
2018.7.13 0:00,-3,-0.6,2,3,-1
2018.7.20 0:00,0,0,0,0,0
2018.7.27 0:00,-9,-4.5,0,2,-1
2018.8.3 0:00,0,0,0,0,0
2018.8.10 0:00,1,1,1,0,1
2018.8.17 0:00,0,0,0,0,0
2018.8.24 0:00,-5,-5,0,1,-1
2018.8.31 0:00,0,0,0,0,0
2018.9.7 0:00,-3,-3,0,1,-1
2018.9.14 0:00,-12,-4,0,3,-1
2018.9.21 0:00,-18,-3.6,0,5,-1
2018.9.28 0:00,-10,-10,0,1,-1
2018.10.5 0:00,0,0,0,0,0
2018.10.12 0:00,0,0,0,0,0
2018.10.19 0:00,-5,-5,0,1,-1
2018.10.26 0:00,0,0,0,0,0
2018.11.2 0:00,0,0,1,1,0
2018.11.9 0:00,3,1.5,2,0,1
2018.11.16 0:00,-2,-2,0,1,-1
2018.11.23 0:00,0,0,0,0,0
2018.11.30 0:00,-5,-5,0,1,-1
2018.12.7 0:00,0,0,0,0,0
2018.12.14 0:00,5,5,1,0,1
2018.12.21 0:00,0,0,0,0,0
2018.12.28 0:00,0,0,0,0,0
2019.1.4 0:00,0,0,0,0,0
2019.1.11 0:00,-10,-5,0,2,-1
2019.1.18 0:00,0,0,0,0,0
2019.1.25 0:00,0,0,0,0,0
2019.2.1 0:00,-2,-2,0,1,-1
2019.2.8 0:00,10,10,1,0,1
2019.2.15 0:00,0,0,0,0,0
2019.2.22 0:00,0,0,0,0,0
2019.3.1 0:00,1,1,1,0,1
2019.3.8 0:00,-8,-2.666666667,0,3,-1
2019.3.15 0:00,-5,-5,0,1,-1
2019.3.22 0:00,1,0.5,1,1,1
2019.3.29 0:00,-11,-3.666666667,0,3,-1
2019.4.5 0:00,-8,-4,0,2,-1
2019.4.12 0:00,1,0.5,1,1,1
2019.4.19 0:00,-4,-1.333333333,1,2,-1
2019.4.26 0:00,-3,-3,0,1,-1
2019.5.3 0:00,0,0,0,0,0
2019.5.10 0:00,0,0,0,0,0
2019.5.17 0:00,10,2.5,3,1,1
2019.5.24 0:00,0,0,0,0,0
2019.5.31 0:00,18,6,3,0,1
2019.6.7 0:00,-2,-0.666666667,1,2,-1
2019.6.14 0:00,-5,-5,0,1,-1
2019.6.21 0:00,-4,-2,0,2,-1
2019.6.28 0:00,-2,-0.666666667,1,2,-1
2019.7.5 0:00,6,3,2,0,1
2019.7.12 0:00,0,0,0,0,0
2019.7.19 0:00,-1,-0.5,1,1,-1
2019.7.26 0:00,-3,-1,1,2,-1
2019.8.2 0:00,0,0,0,0,0
2019.8.9 0:00,6,2,2,1,1
2019.8.16 0:00,-13,-6.5,0,2,-1
2019.8.23 0:00,-11,-2.75,0,4,-1
2019.8.30 0:00,-9,-4.5,0,2,-1
2019.9.6 0:00,0,0,0,0,0
2019.9.13 0:00,-9,-4.5,0,2,-1
2019.9.20 0:00,0,0,0,0,0
2019.9.27 0:00,-5,-5,0,1,-1
2019.10.4 0:00,4,1.333333333,2,1,1
2019.10.11 0:00,-9,-4.5,0,2,-1
2019.10.18 0:00,-5,-5,0,1,-1
2019.10.25 0:00,-17,-3.4,1,4,-1
2019.11.1 0:00,-3,-3,0,1,-1
2019.11.8 0:00,2,1,1,1,1
2019.11.15 0:00,0,0,0,0,0
2019.11.22 0:00,0,0,0,0,0
2019.11.29 0:00,0,0,0,0,0
2019.12.6 0:00,0,0,0,0,0
2019.12.13 0:00,-2,-0.666666667,1,2,-1
2019.12.20 0:00,0,0,0,0,0
2019.12.27 0:00,0,0,1,1,0
2020.1.3 0:00,1,1,1,0,1
2020.1.10 0:00,0,0,0,0,0
2020.1.17 0:00,8,8,1,0,1
2020.1.24 0:00,-6,-3,0,2,-1
2020.1.31 0:00,-23,-2.875,1,7,-1
2020.2.7 0:00,-39,-3.9,0,10,-1
2020.2.14 0:00,-51,-4.25,1,11,-1
2020.2.21 0:00,-20,-1.25,5,11,-1
2020.2.28 0:00,-78,-5.2,1,14,-1
2020.3.6 0:00,-38,-5.428571429,1,6,-1
2020.3.13 0:00,-26,-4.333333333,0,6,-1
2020.3.20 0:00,-49,-3.266666667,3,12,-1
2020.3.27 0:00,-10,-2,2,3,-1
2020.4.3 0:00,-16,-2.285714286,2,5,-1
2020.4.10 0:00,-20,-5,0,4,-1
2020.4.17 0:00,-10,-2,2,3,-1
2020.4.24 0:00,-1,-0.5,1,1,-1
2020.5.1 0:00,0,0,2,2,0
2020.5.8 0:00,-6,-1.2,2,3,-1
2020.5.15 0:00,-4,-4,0,1,-1
2020.5.22 0:00,0,0,0,0,0
2020.5.29 0:00,0,0,0,0,0
2020.6.5 0:00,-9,-1.8,1,4,-1
2020.6.12 0:00,-6,-2,1,2,-1
2020.6.19 0:00,8,4,2,0,1
2020.6.26 0:00,8,2.666666667,2,1,1
2020.7.3 0:00,7,2.333333333,2,1,1
2020.7.10 0:00,-10,-5,0,2,-1
2020.7.17 0:00,0,0,1,1,0
2020.7.24 0:00,-12,-6,0,2,-1
2020.7.31 0:00,-12,-6,0,2,-1
2020.8.7 0:00,0,0,0,0,0
2020.8.14 0:00,-5,-2.5,0,2,-1
2020.8.21 0:00,7,3.5,2,0,1
2020.8.28 0:00,6,2,2,1,1
2020.9.4 0:00,-12,-4,0,3,-1
2020.9.11 0:00,-19,-3.8,0,5,-1
2020.9.18 0:00,3,1.5,1,1,1
2020.9.25 0:00,-3,-1.5,0,2,-1
2020.10.2 0:00,-10,-5,0,2,-1
2020.10.9 0:00,0,0,0,0,0
2020.10.16 0:00,-2,-2,0,1,-1
2020.10.23 0:00,0,0,0,0,0
2020.10.30 0:00,-2,-1,1,1,-1
2020.11.6 0:00,-5,-5,0,1,-1
2020.11.13 0:00,0,0,0,0,0
2020.11.20 0:00,0,0,0,0,0
2020.11.27 0:00,0,0,0,0,0
2020.12.4 0:00,7,1.75,3,1,1
2020.12.11 0:00,-5,-5,0,1,-1
2020.12.18 0:00,0,0,0,0,0
2020.12.25 0:00,0,0,0,0,0
2021.1.1 0:00,-5,-5,0,1,-1
2021.1.8 0:00,5,5,1,0,1
2021.1.15 0:00,-9,-3,0,3,-1
2021.1.22 0:00,8,8,1,0,1
2021.1.29 0:00,5,5,1,0,1
2021.2.5 0:00,-2,-2,0,1,-1
2021.2.12 0:00,0,0,0,0,0
2021.2.19 0:00,10,5,2,0,1
2021.2.26 0:00,20,5,4,0,1
2021.3.5 0:00,-5,-1.666666667,1,2,-1
2021.3.12 0:00,-3,-1,1,2,-1
2021.3.19 0:00,-3,-1.5,0,2,-1
2021.3.26 0:00,-2,-2,0,1,-1
2021.4.2 0:00,1,0.5,1,1,1
2021.4.9 0:00,-5,-1.25,1,3,-1
2021.4.16 0:00,-6,-0.857142857,3,4,-1
2021.4.23 0:00,-5,-1.666666667,0,3,-1
2021.4.30 0:00,-5,-5,0,1,-1
2021.5.7 0:00,-7,-3.5,0,2,-1
2021.5.14 0:00,-7,-1.75,1,3,-1
2021.5.21 0:00,-10,-1.428571429,3,4,-1
2021.5.28 0:00,-5,-1.666666667,1,2,-1
2021.6.4 0:00,12,3,4,0,1
2021.6.11 0:00,1,0.2,3,2,1
2021.6.18 0:00,0,0,4,3,0
2021.6.25 0:00,23,3.833333333,5,1,1
2021.7.2 0:00,15,3,3,2,1
2021.7.9 0:00,0,0,0,0,0
2021.7.16 0:00,10,3.333333333,2,1,1
2021.7.23 0:00,40,3.636363636,8,3,1
2021.7.30 0:00,-2,-0.5,2,2,-1
2021.8.6 0:00,11,1.833333333,4,2,1
2021.8.13 0:00,11,0.846153846,7,6,1
2021.8.20 0:00,-10,-1.666666667,2,4,-1
2021.8.27 0:00,0,0,3,3,0
2021.9.3 0:00,-4,-0.8,1,4,-1
2021.9.10 0:00,-1,-0.333333333,1,2,-1
2021.9.17 0:00,2,0.4,3,2,1
2021.9.24 0:00,18,4.5,3,1,1
2021.10.1 0:00,6,0.545454545,5,6,1
2021.10.8 0:00,-23,-2.555555556,2,7,-1
2021.10.15 0:00,29,4.142857143,6,1,1
2021.10.22 0:00,10,1.25,4,4,1
2021.10.29 0:00,14,2.8,3,2,1
2021.11.5 0:00,-8,-1,3,5,-1
2021.11.12 0:00,-10,-1.666666667,2,4,-1
2021.11.19 0:00,0,0,1,2,0
2021.11.26 0:00,3,1,2,1,1
2021.12.3 0:00,2,0.5,2,2,1
2021.12.10 0:00,3,0.75,3,1,1
2021.12.17 0:00,22,3.666666667,4,2,1
2021.12.24 0:00,3,0.6,2,3,1
2021.12.31 0:00,2,2,1,0,1
2022.1.7 0:00,-14,-4.666666667,0,3,-1
2022.1.14 0:00,-12,-4,0,3,-1
2022.1.21 0:00,-8,-1.6,1,4,-1
2022.1.28 0:00,-15,-2.5,2,4,-1
2022.2.4 0:00,2,0.5,2,2,1
2022.2.11 0:00,-1,-0.2,2,3,-1
2022.2.18 0:00,-2,-0.5,2,2,-1
2022.2.25 0:00,10,3.333333333,2,1,1
2022.3.4 0:00,0,0,0,0,0
2022.3.11 0:00,16,2.666666667,4,2,1
2022.3.18 0:00,-10,-0.555555556,6,12,-1
2022.3.25 0:00,2,0.285714286,4,3,1
2022.4.1 0:00,6,1,3,3,1
2022.4.8 0:00,-8,-1.333333333,2,4,-1
2022.4.15 0:00,11,1,6,5,1
2022.4.22 0:00,16,1.230769231,8,5,1
2022.4.29 0:00,1,0.111111111,4,5,1
2022.5.6 0:00,-39,-3.545454545,1,10,-1
2022.5.13 0:00,-16,-1.777777778,2,7,-1
2022.5.20 0:00,2,0.5,2,2,1
2022.5.27 0:00,35,2.692307692,9,4,1
2022.6.3 0:00,-24,-4,1,5,-1
2022.6.10 0:00,-31,-4.428571429,1,6,-1
2022.6.17 0:00,-27,-3.857142857,1,6,-1
2022.6.24 0:00,-40,-5.714285714,0,7,-1
2022.7.1 0:00,-11,-2.2,1,4,-1
2022.7.8 0:00,6,3,1,1,1
2022.7.15 0:00,18,3,5,1,1
2022.7.22 0:00,-8,-1.333333333,1,5,-1
2022.7.29 0:00,-4,-1.333333333,1,2,-1
2022.8.5 0:00,22,5.5,4,0,1
2022.8.12 0:00,15,3.75,3,1,1
2022.8.19 0:00,-39,-2.166666667,5,13,-1
2022.8.26 0:00,-77,-2.961538462,6,20,-1
2022.9.2 0:00,-23,-1.277777778,6,12,-1
2022.9.9 0:00,26,2.6,6,4,1
2022.9.16 0:00,13,2.6,4,1,1
2022.9.23 0:00,-5,-1,2,3,-1
2022.9.30 0:00,-8,-2.666666667,1,2,-1
2022.10.7 0:00,-9,-3,1,2,-1
2022.10.14 0:00,4,1.333333333,2,1,1
2022.10.21 0:00,2,0.4,2,3,1
2022.10.28 0:00,17,4.25,3,1,1
2022.11.4 0:00,-5,-1.666666667,1,2,-1
2022.11.11 0:00,-31,-3.875,0,8,-1
2022.11.18 0:00,29,4.142857143,6,1,1
2022.11.25 0:00,-14,-4.666666667,0,3,-1
2022.12.2 0:00,-8,-1.333333333,2,4,-1
2022.12.9 0:00,-6,-1,3,3,-1
2022.12.16 0:00,-17,-3.4,1,4,-1
2022.12.23 0:00,-5,-5,0,1,-1
2022.12.30 0:00,-1,-0.25,2,2,-1
2023.1.6 0:00,3,1,2,1,1
2023.1.13 0:00,-30,-5,0,6,-1
2023.1.20 0:00,-18,-2.571428571,2,5,-1
2023.1.27 0:00,-7,-1.75,1,3,-1
2023.2.3 0:00,3,1.5,1,1,1
2023.2.10 0:00,-5,-5,0,1,-1
2023.2.17 0:00,-19,-2.714285714,1,6,-1
2023.2.24 0:00,7,1.166666667,3,3,1
2023.3.3 0:00,-2,-0.5,2,2,-1
2023.3.10 0:00,2,0.4,3,2,1
2023.3.17 0:00,6,1,3,3,1
2023.3.24 0:00,0,0,2,2,0
2023.3.31 0:00,-12,-3,1,3,-1
2023.4.7 0:00,9,3,2,1,1
2023.4.14 0:00,5,1.666666667,2,1,1
2023.4.21 0:00,-1,-0.2,3,2,-1
2023.4.28 0:00,15,3,2,3,1
2023.5.5 0:00,-2,-0.666666667,1,2,-1
2023.5.12 0:00,0,0,1,1,0
2023.5.19 0:00,5,5,1,0,1
2023.5.26 0:00,-5,-5,0,1,-1
2023.6.2 0:00,5,5,1,0,1
2023.6.9 0:00,6,2,2,1,1
2023.6.16 0:00,23,2.875,7,1,1
2023.6.23 0:00,6,1.5,3,1,1
2023.6.30 0:00,13,2.6,3,2,1
2023.7.7 0:00,-19,-2.714285714,0,7,-1
2023.7.14 0:00,-10,-1.666666667,1,5,-1
2023.7.21 0:00,-6,-0.666666667,4,5,-1
2023.7.28 0:00,1,0.5,1,1,1
2023.8.4 0:00,-21,-2.333333333,1,8,-1
2023.8.11 0:00,-22,-1.466666667,5,10,-1
2023.8.18 0:00,-23,-4.6,0,5,-1
2023.8.25 0:00,-2,-0.666666667,1,2,-1
2023.9.1 0:00,-22,-3.666666667,0,6,-1
2023.9.8 0:00,5,0.555555556,5,4,1
2023.9.15 0:00,-10,-1,4,6,-1
2023.9.22 0:00,-8,-4,0,2,-1
2023.9.29 0:00,8,2.666666667,2,1,1
2023.10.6 0:00,12,4,3,0,1
2023.10.13 0:00,-14,-2.8,1,4,-1
2023.10.20 0:00,8,0.888888889,4,5,1
2023.10.27 0:00,1,0.25,2,2,1
2023.11.3 0:00,-7,-7,0,1,-1
2023.11.10 0:00,4,0.8,2,3,1
2023.11.17 0:00,-25,-2.777777778,1,8,-1
2023.11.24 0:00,2,1,1,1,1
2023.12.1 0:00,-12,-4,0,3,-1
2023.12.8 0:00,-5,-1.666666667,0,3,-1
2023.12.15 0:00,-13,-2.166666667,0,6,-1
2023.12.22 0:00,2,0.5,2,2,1
2023.12.29 0:00,17,4.25,4,0,1
2024.1.5 0:00,20,1.818181818,7,4,1
2024.1.12 0:00,33,3.3,7,3,1
2024.1.19 0:00,-12,-1.5,2,6,-1
2024.1.26 0:00,-9,-1.8,2,3,-1
2024.2.2 0:00,-31,-3.875,1,7,-1
2024.2.9 0:00,-24,-2.181818182,3,8,-1
2024.2.16 0:00,-11,-1,4,7,-1
2024.2.23 0:00,2,0.333333333,4,2,1
2024.3.1 0:00,25,6.25,4,0,1
2024.3.8 0:00,-29,-4.833333333,1,5,-1
2024.3.15 0:00,-14,-4.666666667,0,3,-1
2024.3.22 0:00,-18,-3.6,0,5,-1
2024.3.29 0:00,6,0.5,5,7,1
2024.4.5 0:00,20,2.857142857,4,3,1
2024.4.12 0:00,3,0.75,2,2,1
2024.4.19 0:00,17,3.4,4,1,1
2024.4.26 0:00,1,0.125,4,4,1
2024.5.3 0:00,1,0.2,2,3,1
2024.5.10 0:00,-19,-1.9,3,7,-1
2024.5.17 0:00,-82,-4.315789474,4,15,-1
2024.5.24 0:00,16,2,5,3,1
2024.5.31 0:00,-20,-4,0,5,-1
2024.6.7 0:00,-11,-3.666666667,0,3,-1
2024.6.14 0:00,-3,-0.75,2,2,-1
2024.6.21 0:00,26,3.714285714,6,1,1
2024.6.28 0:00,-22,-2,1,10,-1
2024.7.5 0:00,-37,-3.363636364,1,10,-1
2024.7.12 0:00,-13,-1.857142857,1,6,-1
2024.7.19 0:00,-1,-0.142857143,3,4,-1
2024.7.26 0:00,-13,-2.166666667,1,5,-1
2024.8.2 0:00,4,0.363636364,5,6,1
2024.8.9 0:00,-6,-0.857142857,2,5,-1
2024.8.16 0:00,-6,-0.5,5,7,-1
2024.8.23 0:00,15,2.5,4,2,1
2024.8.30 0:00,-21,-2.1,2,8,-1
2024.9.6 0:00,-3,-0.428571429,2,5,-1
2024.9.13 0:00,-43,-2.529411765,6,11,-1
2024.9.20 0:00,-4,-0.4,3,7,-1
2024.9.27 0:00,-12,-1.333333333,3,6,-1
2024.10.4 0:00,15,0.9375,7,9,1
2024.10.11 0:00,-14,-1.272727273,3,8,-1
2024.10.18 0:00,-2,-0.4,2,3,-1
2024.10.25 0:00,8,1.6,4,1,1
2024.11.1 0:00,-19,-4.75,1,3,-1
2024.11.8 0:00,-8,-1.142857143,3,4,-1
2024.11.15 0:00,0,0,1,2,0
2024.11.22 0:00,6,0.857142857,4,3,1
2024.11.29 0:00,-4,-1,1,3,-1
2024.12.6 0:00,24,2.666666667,6,3,1
2024.12.13 0:00,8,1,4,4,1
2024.12.20 0:00,-12,-2,1,5,-1
2024.12.27 0:00,-12,-4,0,3,-1